fsq Id,Name,Address,Latitude,Longitude,Category ID,Distance,Popularity,Ratings,Total Ratings,Price($),Website
553f30a8498edf5cebec7dca,Jane A. Gordon,"240 Central Park S (Broadway - 7th Ave), New York, NY 10019",40.76737,-73.981125,17044,1.9324058197445706,0.13850102349359408,9.2,714,148,http://www.janegordon.com
59e8dea21bc704679af95899,Spyscape,"928 8th Ave (at 55th St), New York, NY 10019",40.765198,-73.983618,10027,2.2423839286587013,0.9894928251540436,8.1,97,127,http://spyscape.com
541dcdb1498e1777b870b0d7,The Africa Center,"1280 5th Ave (At 110th St.), New York, NY 10029",40.796289,-73.949378,10028,2.3570443525959193,0.9729880817547979,7.1,220,235,http://theafricacenter.org
0c8d8b6f7acb4b56824204a6,Madame Tussauds Wax Musuem New York,"234 W 42nd St, New York, NY 10036",40.756539,-73.988521,10028,3.2878870666502036,0.7311381040950135,7.3,94,137,https://www.madametussauds.com/new-york/en
4b1c0682f964a520e40024e3,New York Transit Museum Annex,"Grand Central Terminal (42nd and Park Avenue), New York, NY 10017",40.752895,-73.977589,17044,3.3961692162135604,0.9743222602063613,7.0,93,64,http://web.mta.info/mta/museum
7365b77cfc9540932f15655b,Center for Figurative Painting,"261 W 35th St, New York, NY 10001",40.752768,-73.992304,10027,3.8062093372725867,0.017616558775548373,7.4,352,194,http://www.artnet.com/gallery/223/center-for-figurative-painting.html
4a8ddef7f964a520331120e3,Fashion Institute Of Technology - Museum At Fit,"227 W 27th St (at 7th Ave), New York, NY 10001",40.747304,-73.994797,10027,4.44273684524598,0.9926391587610013,8.2,235,107,http://www.fitnyc.edu/museum.asp
4b019575f964a5209f4322e3,Hebrew Union College - Jewish Institute of Religion,"1 W 4th St (btwn Broadway & Mercer), New York, NY 10012",40.728807,-73.994549,12013,6.3435816211889735,0.9612589490746994,6.1,14,51,http://www.huc.edu
3c0a0d4464ad4269a3672bfb,Lower East Side History project,"308 Bowery, New York, NY 10012",40.724864,-73.992735,10027,6.719144416275397,0.8805369964359563,8.9,549,71,http://www.leshp.org
4ac8f0cef964a52071bd20e3,The New York Earth Room,"141 Wooster St (btw Prince St and Houston St), New York, NY 10012",40.726021,-73.999809,10004,6.783060227964297,0.9759494591589688,7.9,160,136,http://www.earthroom.org
