fsq Id,Name,Address,Latitude,Longitude,Category ID,Distance
349727d052694f5a43f94297,DFC Travel,"203 W 85th St, New York, NY 10024",40.787374,-73.975875,19055,0.6179128559034868
e72e2abcd211417b9e320132,KG Travel Club,"509 E 83rd St, New York, NY 10028",40.773881,-73.947643,19055,2.2345209435454794
8eaaaf7c343847fd51504a74,Hotwire,"310 W 52nd St, New York, NY 10019",40.76357,-73.985957,19055,2.495814531278378
5851e62ccc5b6a439253748a,BlueOrange Travel - NYC Travel Agency,"1633 Broadway, New York, NY 10019",40.762041,-73.98463,19055,2.594343149906837
4bf9d8adbc869521d5cc7a6b,Protravel International,"515 Madison Ave (at 53rd St), New York, NY 10022",40.759743,-73.973793,19055,2.6013288949631157
5ed1916522c84d833ed8fe9b,Gad International,"589 5th Ave, New York, NY 10017",40.756935,-73.977877,19055,2.95784141472146
57c9afd0498edb271c61bab2,Empire Limousine,"211 W 43rd St, New York, NY 10036",40.757123,-73.986884,19053,3.1700905991230766
56210f4c498e8bba58093560,Certares,"350 Madison Ave, New York, NY 10017",40.754604,-73.978267,19055,3.2186243291446983
df2d51d95e1e4c063c14fa58,Executive Global Travel,"303 W 42nd St, New York, NY 10036",40.757527,-73.989914,19055,3.244884845493248
575f852b498ef56407b49b92,Encore Jets,"1460 Broadway, New York, NY 10036",40.755089,-73.98628,19055,3.3576526557449933
